Novak Djokovic	
Roger Federer	
Andy Murray	
David Ferrer	
Tomáš Berdych	
Juan Martín del Potro	
Jo-Wilfried Tsonga	
Janko Tipsarević	
Richard Gasquet	
Nicolás Almagro	
Juan Mónaco	
Marin Čilić	
Milos Raonic	
Gilles Simon	
Stanislas Wawrinka	
Kei Nishikori	
Philipp Kohlschreiber	
Alexandr Dolgopolov	
Tommy Haas	
Sam Querrey	
Andreas Seppi	
Fernando Verdasco	
Mikhail Youzhny	
Jerzy Janowicz	
Florian Mayer	
Jürgen Melzer	
Martin Kližan	
Marcos Baghdatis	
Thomaz Bellucci	
Radek Štěpánek	
Marcel Granollers	
Julien Benneteau
